Source	Target	Type	Weight	Val
30023	5750	Undirected	1.0	214817
30023	29963	Undirected	1.0	214817
5750	32459	Undirected	1.0	214817
5750	32659	Undirected	1.0	214817
32459	32659	Undirected	1.0	214817
4995	27824	Undirected	3.0	476170
14632	4267	Undirected	1.0	7863900
14632	27886	Undirected	2.0	7948800
14632	44914	Undirected	1.0	7863900
14632	42061	Undirected	1.0	7863900
14632	77862	Undirected	1.0	7863900
1932	6475	Undirected	1.0	7863900
1932	27648	Undirected	1.0	7863900
1932	27182	Undirected	1.0	7863900
1932	43492	Undirected	1.0	7863900
4267	6475	Undirected	1.0	7863900
4267	27648	Undirected	1.0	7863900
4267	27182	Undirected	1.0	7863900
4267	43492	Undirected	1.0	7863900
6475	27886	Undirected	1.0	7863900
6475	44914	Undirected	1.0	7863900
6475	42061	Undirected	1.0	7863900
6475	77862	Undirected	1.0	7863900
27886	44914	Undirected	1.0	7863900
27886	42061	Undirected	1.0	7863900
27886	77862	Undirected	1.0	7863900
27648	27182	Undirected	1.0	7863900
27648	43492	Undirected	1.0	7863900
44914	27182	Undirected	1.0	7863900
44914	43492	Undirected	1.0	7863900
27182	42061	Undirected	1.0	7863900
27182	77862	Undirected	1.0	7863900
42061	77862	Undirected	1.0	7863900
43651	5798	Undirected	4.0	2318095
43651	62129	Undirected	2.0	404089
5798	62129	Undirected	1.0	149175
10327	41412	Undirected	2.0	317546
39394	57587	Undirected	2.0	518526
37633	71035	Undirected	1.0	33453
10488	10585	Undirected	1.0	54513
10585	56385	Undirected	1.0	54513
96678	3251	Undirected	1.0	26190
70796	3251	Undirected	1.0	26190
3251	23868	Undirected	1.0	26190
44216	15080	Undirected	1.0	26946
117229	15080	Undirected	1.0	26946
15080	27780	Undirected	7.0	1000097
69656	44687	Undirected	2.0	224037
32023	9383	Undirected	1.0	62867
34596	61608	Undirected	1.0	107500
21429	46033	Undirected	1.0	109014
3672	3999	Undirected	1.0	70441
6321	49125	Undirected	2.0	145450
34745	14115	Undirected	1.0	191458
14115	23127	Undirected	2.0	884175
6148	23989	Undirected	1.0	141149
29126	4568	Undirected	2.0	135048
183	732	Undirected	2.0	248225
21233	42809	Undirected	3.0	252622
9479	13790	Undirected	1.0	25000
13790	9479	Undirected	1.0	40000
16440	16398	Undirected	1.0	258969
14354	13756	Undirected	1.0	23591
13756	25194	Undirected	2.0	102192
13885	4575	Undirected	1.0	63382
42474	42271	Undirected	1.0	285249
42271	43422	Undirected	1.0	285249
42432	1108	Undirected	3.0	799552
48775	51949	Undirected	1.0	8475
21378	21399	Undirected	3.0	364552
21399	3113	Undirected	1.0	189731
15236	8138	Undirected	1.0	168357
15236	6646	Undirected	2.0	275357
8138	6646	Undirected	1.0	168357
22235	60726	Undirected	1.0	90949
60726	9310	Undirected	1.0	90949
36435	68066	Undirected	1.0	190545
34631	10554	Undirected	1.0	266494
10554	22187	Undirected	1.0	266494
4417	10455	Undirected	1.0	498267
13437	33374	Undirected	1.0	390702
25191	48653	Undirected	1.0	251765
25191	39935	Undirected	1.0	251765
25191	63562	Undirected	1.0	251765
25191	63564	Undirected	1.0	251765
48653	39935	Undirected	1.0	251765
48653	63562	Undirected	1.0	251765
48653	63564	Undirected	1.0	251765
51120	63552	Undirected	1.0	251765
51120	63563	Undirected	1.0	251765
39935	63552	Undirected	1.0	251765
39935	63563	Undirected	1.0	251765
63552	63562	Undirected	1.0	251765
63552	63564	Undirected	1.0	251765
63562	63564	Undirected	1.0	251765
25703	-26119	Undirected	2.0	244243
17568	13954	Undirected	1.0	117787
3459	12353	Undirected	2.0	189207
29229	3274	Undirected	1.0	97703
12432	3274	Undirected	1.0	97703
3274	21400	Undirected	3.0	305798
7505	5073	Undirected	1.0	88351
6722	49457	Undirected	1.0	245651
49456	49457	Undirected	1.0	245651
49457	312	Undirected	1.0	245651
44739	39983	Undirected	1.0	85069
44739	62151	Undirected	1.0	85069
44739	-77182	Undirected	1.0	85069
39983	62151	Undirected	1.0	85069
39983	-77182	Undirected	1.0	85069
74486	16717	Undirected	1.0	85069
62151	16717	Undirected	1.0	85069
16717	-77182	Undirected	2.0	277790
1655	3452	Undirected	2.0	333638
16038	16522	Undirected	1.0	81585
2663	34911	Undirected	2.0	95508
2663	8088	Undirected	2.0	95508
2663	13526	Undirected	2.0	95508
2663	2984	Undirected	2.0	95508
2663	44257	Undirected	2.0	95508
2663	93270	Undirected	2.0	95508
2663	12751	Undirected	4.0	567013
2663	-460313	Undirected	2.0	95508
2663	35916	Undirected	2.0	95508
2663	36598	Undirected	2.0	95508
2663	36617	Undirected	2.0	95508
2663	36619	Undirected	2.0	95508
34911	8088	Undirected	2.0	95508
34911	13526	Undirected	2.0	95508
34911	2984	Undirected	2.0	95508
34911	44257	Undirected	1.0	93837
34911	93270	Undirected	1.0	93837
34911	12751	Undirected	2.0	95508
34911	-460313	Undirected	1.0	93837
34911	35916	Undirected	1.0	93837
34911	36598	Undirected	1.0	93837
34911	36617	Undirected	1.0	93837
34911	36619	Undirected	1.0	93837
5916	25224	Undirected	2.0	95508
5916	6831	Undirected	2.0	95508
5916	43548	Undirected	1.0	93837
5916	7332	Undirected	2.0	95508
5916	213	Undirected	2.0	95508
5916	21422	Undirected	2.0	95508
5916	33127	Undirected	1.0	93837
5916	29332	Undirected	1.0	93837
5916	36599	Undirected	2.0	95508
5916	36618	Undirected	2.0	95508
8088	25224	Undirected	1.0	93837
8088	6831	Undirected	2.0	95508
8088	43548	Undirected	1.0	93837
8088	7332	Undirected	1.0	93837
8088	213	Undirected	2.0	95508
8088	21422	Undirected	2.0	95508
8088	33127	Undirected	1.0	93837
8088	29332	Undirected	2.0	192686
8088	36599	Undirected	1.0	93837
8088	36618	Undirected	1.0	93837
25224	13526	Undirected	2.0	95508
25224	2984	Undirected	2.0	95508
25224	44257	Undirected	1.0	93837
25224	93270	Undirected	1.0	93837
25224	12751	Undirected	3.0	332013
25224	-460313	Undirected	1.0	93837
25224	35916	Undirected	1.0	93837
25224	36598	Undirected	1.0	93837
25224	36617	Undirected	1.0	93837
25224	36619	Undirected	1.0	93837
13526	2984	Undirected	2.0	95508
13526	44257	Undirected	1.0	93837
13526	93270	Undirected	1.0	93837
13526	12751	Undirected	2.0	95508
13526	-460313	Undirected	1.0	93837
13526	35916	Undirected	1.0	93837
13526	36598	Undirected	1.0	93837
13526	36617	Undirected	1.0	93837
13526	36619	Undirected	1.0	93837
6831	43548	Undirected	1.0	93837
6831	7332	Undirected	1.0	93837
6831	213	Undirected	2.0	95508
6831	21422	Undirected	2.0	95508
6831	33127	Undirected	1.0	93837
6831	29332	Undirected	1.0	93837
6831	36599	Undirected	1.0	93837
6831	36618	Undirected	1.0	93837
2984	43548	Undirected	1.0	93837
2984	7332	Undirected	1.0	93837
2984	213	Undirected	2.0	95508
2984	21422	Undirected	1.0	93837
2984	33127	Undirected	1.0	93837
2984	29332	Undirected	1.0	93837
2984	36599	Undirected	1.0	93837
2984	36618	Undirected	1.0	93837
43548	44257	Undirected	2.0	95508
43548	93270	Undirected	2.0	95508
43548	12751	Undirected	2.0	95508
43548	-460313	Undirected	2.0	95508
43548	35916	Undirected	2.0	95508
43548	36598	Undirected	2.0	95508
43548	36617	Undirected	2.0	95508
43548	36619	Undirected	2.0	95508
44257	93270	Undirected	2.0	95508
44257	12751	Undirected	2.0	95508
44257	-460313	Undirected	2.0	95508
44257	35916	Undirected	2.0	95508
44257	36598	Undirected	2.0	95508
44257	36617	Undirected	2.0	95508
44257	36619	Undirected	2.0	95508
7332	213	Undirected	2.0	95508
7332	21422	Undirected	2.0	95508
7332	33127	Undirected	1.0	93837
7332	29332	Undirected	1.0	93837
7332	36599	Undirected	1.0	93837
7332	36618	Undirected	1.0	93837
93270	213	Undirected	2.0	95508
93270	21422	Undirected	2.0	95508
93270	33127	Undirected	1.0	93837
93270	29332	Undirected	1.0	93837
93270	36599	Undirected	2.0	95508
93270	36618	Undirected	2.0	95508
213	12751	Undirected	2.0	95508
213	-460313	Undirected	1.0	93837
213	35916	Undirected	1.0	93837
213	36598	Undirected	1.0	93837
213	36617	Undirected	1.0	93837
213	36619	Undirected	1.0	93837
12751	-460313	Undirected	1.0	93837
12751	35916	Undirected	1.0	93837
12751	36598	Undirected	1.0	93837
12751	36617	Undirected	1.0	93837
12751	36619	Undirected	1.0	93837
21422	33127	Undirected	1.0	93837
21422	29332	Undirected	1.0	93837
21422	36599	Undirected	1.0	93837
21422	36618	Undirected	1.0	93837
-460313	33127	Undirected	2.0	95508
-460313	29332	Undirected	2.0	299308
-460313	36599	Undirected	2.0	95508
-460313	36618	Undirected	2.0	95508
33127	35916	Undirected	2.0	95508
33127	36598	Undirected	2.0	95508
33127	36617	Undirected	2.0	95508
33127	36619	Undirected	2.0	95508
35916	36598	Undirected	2.0	95508
35916	36617	Undirected	2.0	95508
35916	36619	Undirected	2.0	95508
29332	36599	Undirected	2.0	95508
29332	36618	Undirected	2.0	95508
36598	36599	Undirected	2.0	95508
36598	36618	Undirected	2.0	95508
36599	36617	Undirected	2.0	95508
36599	36619	Undirected	2.0	95508
36617	36619	Undirected	2.0	95508
2663	43548	Undirected	2.0	95508
2663	33127	Undirected	2.0	95508
2663	36600	Undirected	1.0	1671
2663	25224	Undirected	3.0	332013
2663	21422	Undirected	2.0	95508
43548	73544	Undirected	1.0	1671
43548	33127	Undirected	2.0	95508
43548	36600	Undirected	1.0	1671
43548	34911	Undirected	1.0	1671
43548	7332	Undirected	2.0	95508
43548	6831	Undirected	1.0	1671
43548	34418	Undirected	1.0	1671
43548	213	Undirected	2.0	95508
73544	-460313	Undirected	1.0	1671
73544	93270	Undirected	1.0	1671
73544	5916	Undirected	1.0	1671
73544	36599	Undirected	1.0	1671
73544	36617	Undirected	1.0	1671
73544	36619	Undirected	1.0	1671
73544	25224	Undirected	1.0	1671
73544	8088	Undirected	1.0	1671
73544	6831	Undirected	1.0	1671
73544	34418	Undirected	1.0	1671
73544	213	Undirected	1.0	1671
44257	29332	Undirected	2.0	95508
44257	36599	Undirected	2.0	95508
44257	34911	Undirected	1.0	1671
44257	7332	Undirected	2.0	95508
44257	6831	Undirected	1.0	1671
44257	34418	Undirected	1.0	1671
44257	213	Undirected	2.0	95508
29332	93270	Undirected	1.0	1671
29332	5916	Undirected	1.0	1671
29332	36600	Undirected	1.0	1671
29332	36619	Undirected	2.0	95508
29332	7332	Undirected	1.0	1671
29332	13526	Undirected	1.0	1671
29332	21422	Undirected	1.0	1671
29332	2984	Undirected	1.0	1671
29332	12751	Undirected	1.0	1671
-460313	35916	Undirected	2.0	95508
-460313	36600	Undirected	1.0	1671
-460313	36619	Undirected	2.0	95508
-460313	7332	Undirected	1.0	1671
-460313	13526	Undirected	1.0	1671
-460313	21422	Undirected	1.0	1671
-460313	2984	Undirected	1.0	1671
-460313	12751	Undirected	1.0	1671
33127	5916	Undirected	1.0	1671
33127	36600	Undirected	1.0	1671
33127	34911	Undirected	1.0	1671
33127	7332	Undirected	1.0	1671
33127	13526	Undirected	1.0	1671
33127	21422	Undirected	1.0	1671
33127	2984	Undirected	1.0	1671
